Date,Link,Message
2026-02-10 20:01:17,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7426110113914114049,Congrats Schu! Here’s to 30 more!!
2025-05-01 14:43:25,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7323709027912208384,Great opportunity. Great people. Great company. Sending out for reach!
2025-04-21 23:49:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7320161346229018625,"Glad to see you thriving at a great company! 
You deserve nothing but the best Kim!! Hope all is well with you guys!"
2024-04-24 13:28:09,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7188702520762929152,Congrats Greg! Favorite client of all time! I’ll never forget the many laughs and memories! Best wishes good sir!   NOW GREG!!
2024-01-04 19:07:15,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7148747559455342592,"Congrats Dan!  Happy New Year! 
Best wishes in 2024!!"
2023-10-24 14:10:49,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7122555125004439552,Way to go John!! Looking forward to the read and resulting insights! Great to see you at the tailgate!
2023-02-08 23:00:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7029216218851020800,GREAT IDEA! Better people.
2022-01-07 18:26:35,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6885030107228995584,Great company - better people!  Best wishes in 2022! Keep up the great work
2021-01-16 14:47:37,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6756213752560975872,Congrats Steve! Go CMI and Go Browns!
2020-10-27 18:07:41,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6726488407125635072,Great company. Great people! (Yes - including Steve!) Congrats Mako - keep pushing!!
2017-02-22 00:51:17,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6239967533860999168,Congrats Alex!  I look forward to watching the amazing things you will accomplish!  Best wishes!!
2016-07-12 15:39:50,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A7395448682375647300,Congrats Robin! Bigger congrats to Helix! As genuine a person as I have met in my time - best wishes!!
2016-04-26 14:15:00,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6130362958284406785,Great project with great people bringing wellness to a great community!
2016-02-09 17:25:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aarticle%3A9164249198940904627,Very exciting project by a great group of people!
2015-10-02 01:53:28,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6055155782398332928,Fantastic company to work with!!
2015-03-31 18:02:34,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5988701897081524224,Now Greg... What's going on!! Hope all is well my friend. Looking sharp!!
2014-11-17 22:42:10,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5940145431127289857,Congrats!!
2014-09-25 18:18:02,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5920955725458202625,Awesome company - better people!! Congrats Joey Janisheck
2014-07-03 21:53:17,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5890517266797178880,A decade of making an impact - Congrats Tom! Have a great 4th of July weekend!
2014-05-29 23:01:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5877615450224881664,Congrats Melissa!
2014-05-23 20:28:55,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5875305230823862272,Congrats Harry! Best wishes for continued success!
2014-02-20 19:54:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5842352313448423424,"Thank you for being with us today!
Very proud to be a small part of the amazing history at Akron General / The People's Hospital.  \"It's about people\""
2014-02-20 19:53:51,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A20237027-5842354210133270532,"Thank you for being with us today!
Very proud to be a small part of the amazing history at Akron General / The People's Hospital.  \"It's about people\""
2014-02-06 03:29:55,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5836880832899338240,Congrats Mike!  Well deserved sir
2014-02-06 03:29:20,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A10136152-5836887024468000768,Congrats Mike!  Well deserved sir
2014-01-28 19:53:58,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A134476303-5833863402983813122,Congrats Mark!  Hope to catch up soon!
2013-10-14 18:06:43,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5786095037725020160,Glad to be here! Global medical innovation in Cleveland OH!
2013-10-14 18:06:14,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A5656-274914446,Glad to be here! Global medical innovation in Cleveland OH!
2013-05-24 02:02:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5743048086322679808,"Wow! Got a pledge from an amazing architect and friend I haven't talked to in over ten years! Thank you Chase Corker Designs from Dallas, TX for your generous donation! What a great surprise! Hope all is well - not sure what we would have done without you on the Forest Hills house!!"
2013-05-24 02:01:42,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A42126967-243691921,"Wow! Got a pledge from an amazing architect and friend I haven't talked to in over ten years! Thank you Chase Corker Designs from Dallas, TX for your generous donation! What a great surprise! Hope all is well - not sure what we would have done without you on the Forest Hills house!!"
2011-10-10 00:38:41,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A42126967-74625231,http://www.ohio.com/news/top-stories/akron-general-signet-launches-deal-to-develop-health-and-wellness-centers-nationwide-1.239132
