Organization,Followed On
Perplexity,Mon Sep 29 17:42:17 UTC 2025
OpenAI,Mon Sep 29 17:42:06 UTC 2025
Anthropic,Mon Sep 29 17:41:59 UTC 2025
American Cancer Society - Arkansas,Wed Aug 13 20:12:35 UTC 2025
ZRG,Mon Apr 14 20:25:26 UTC 2025
Vytal Global,Wed Feb 12 22:43:10 UTC 2025
NCR Atleos,Tue Dec 10 21:23:39 UTC 2024
The Clinic by Cleveland Clinic,Mon Nov 25 18:03:28 UTC 2024
Vytal US,Tue Mar 19 01:00:31 UTC 2024
Dream Golf,Thu Mar 07 18:45:33 UTC 2024
Sterling,Thu Mar 07 02:31:43 UTC 2024
Tarmac.IO,Fri Mar 01 19:34:32 UTC 2024
Seven & i Holdings,Thu Jan 25 17:25:19 UTC 2024
Veradigm®,Wed Jun 07 13:32:02 UTC 2023
Start-ups,Sat Mar 11 21:02:05 UTC 2023
Business Development,Sat Mar 11 20:04:37 UTC 2023
Product Development,Sat Mar 11 19:46:59 UTC 2023
Entrepreneurship,Sat Mar 11 19:31:51 UTC 2023
Sales Operations,Sat Mar 11 19:10:17 UTC 2023
NextStep Arthropedix,Thu Mar 03 14:30:01 UTC 2022
"conCHAIRto, LLC.",Tue Nov 16 20:00:10 UTC 2021
"StreamlineMD, LLC",Fri Feb 19 01:48:18 UTC 2021
Krames (Now WebMD Ignite),Mon Dec 14 18:56:22 UTC 2020
Amazon Web Services (AWS),Thu May 21 23:00:28 UTC 2020
Qlik,Sat Jul 27 12:38:34 UTC 2019
First Advantage,Wed Jul 10 00:37:13 UTC 2019
IQVIA,Thu Aug 03 18:00:14 UTC 2017
Parker Hannifin,Thu Feb 16 14:22:49 UTC 2017
Mako Medical,Tue Dec 06 19:46:17 UTC 2016
Datica,Tue Oct 18 22:23:03 UTC 2016
Bandon Dunes Golf Resort,Tue Oct 04 23:18:23 UTC 2016
University of Akron School of Law,Sat Sep 10 11:11:24 UTC 2016
Baldwin Wallace University,Wed Sep 07 14:10:40 UTC 2016
University of Akron Wayne College,Wed Sep 07 07:50:18 UTC 2016
Canary Health,Mon Jul 11 12:53:14 UTC 2016
Redox,Mon May 23 22:08:23 UTC 2016
Strap,Fri May 13 14:45:15 UTC 2016
National Geographic,Fri May 13 13:47:46 UTC 2016
The Wall Street Journal,Fri May 13 13:47:43 UTC 2016
TechCrunch,Fri May 13 13:47:37 UTC 2016
Harvard Business Review,Fri May 13 13:47:32 UTC 2016
Inc. Magazine,Fri May 13 13:47:28 UTC 2016
The Economist,Fri May 13 13:47:23 UTC 2016
Valley Health System,Tue Apr 26 14:19:29 UTC 2016
Fairfield Medical Center,Tue Apr 26 14:15:05 UTC 2016
TurnkeyZRG,Mon Apr 04 14:40:17 UTC 2016
Validic,Sat Nov 07 02:04:02 UTC 2015
Pursuant Health,Wed Oct 28 14:23:35 UTC 2015
HealthTap,Mon Oct 05 20:39:03 UTC 2015
ConvergeHEALTH by Deloitte,Tue Sep 22 16:52:40 UTC 2015
Skratch Labs,Wed Sep 02 00:36:23 UTC 2015
Rendina Healthcare Real Estate,Tue Aug 25 17:37:29 UTC 2015
The Boldt Company,Tue Aug 25 17:36:35 UTC 2015
PMB,Tue Aug 25 17:36:08 UTC 2015
NexCore Group,Tue Aug 25 17:35:50 UTC 2015
StayWell (Now WebMD Ignite),Sun Aug 23 15:15:47 UTC 2015
Healthways,Sun Aug 23 15:15:47 UTC 2015
"Johnson & Johnson Health and Wellness Solutions, Inc.",Sun Aug 23 15:15:23 UTC 2015
PatientPoint®,Sun Aug 23 15:15:16 UTC 2015
Limeade,Sun Aug 23 15:15:12 UTC 2015
RedBrick Health,Sun Aug 23 15:15:05 UTC 2015
Tenet Healthcare,Wed Jul 08 03:58:49 UTC 2015
Conifer Health Solutions,Wed Jul 08 03:58:40 UTC 2015
Reynolds Consumer Products,Tue Jun 02 00:22:49 UTC 2015
Lake Health,Fri May 15 19:14:29 UTC 2015
Advocate Health Care,Fri Feb 06 17:54:42 UTC 2015
OhioHealth,Fri Feb 06 17:54:39 UTC 2015
Simon Sinek's The Optimism Company,Tue Jan 20 16:29:56 UTC 2015
TED Conferences,Fri Jan 16 02:21:53 UTC 2015
Life Fitness  / Hammer Strength,Sat Jan 10 19:53:59 UTC 2015
Epic,Sat Jan 10 19:53:18 UTC 2015
eSurface Technologies,Fri Sep 12 20:39:32 UTC 2014
Cleveland Clinic Wellness,Wed Jun 25 21:28:30 UTC 2014
Get Well,Tue Jun 10 14:19:57 UTC 2014
HealthSpot,Tue Jun 10 14:17:45 UTC 2014
American Cancer Society,Fri May 02 12:49:05 UTC 2014
Cerner Wellness,Sat Mar 01 00:40:16 UTC 2014
HIMSS,Mon Feb 17 15:34:49 UTC 2014
"Explorys, an IBM Company",Wed Feb 12 03:00:23 UTC 2014
Under Armour,Wed Feb 12 02:55:52 UTC 2014
Patients Know Best,Wed Feb 12 02:55:06 UTC 2014
McKinsey & Company,Sun Oct 27 15:20:26 UTC 2013
Community Health Systems,Thu Aug 22 22:02:19 UTC 2013
Allscripts,Mon Jun 17 14:37:44 UTC 2013
The University of Akron,Fri Feb 22 14:07:43 UTC 2013
Cleveland Clinic,Fri Feb 22 14:07:31 UTC 2013
Austen BioInnovation Institute in Akron,Fri Feb 22 14:07:06 UTC 2013
MCPC,Fri Feb 22 14:07:01 UTC 2013
Advisory Board,Fri Feb 22 12:18:59 UTC 2013
Akron Children's,Thu Feb 14 02:12:39 UTC 2013
Cleveland Clinic Akron General,Wed Jun 08 01:42:27 UTC 2011
Medical Fitness Association,Sun Apr 03 21:55:04 UTC 2011
American Hospital Association,Sun Apr 03 21:54:26 UTC 2011
NorthCourse Consulting,Thu Jan 20 17:07:44 UTC 2011
