HashTag,CreatedTime,LastModifiedTime,State
future,2016-05-13 13:48:03,2016-05-13 13:48:03,Follow
innovation,2016-05-13 13:48:03,2016-05-13 13:48:03,Follow
creativity,2016-05-13 13:48:03,2016-05-13 13:48:03,Follow
managedcare,2015-01-16 02:21:46,2015-01-16 02:21:46,Follow
healthcare,2015-01-16 02:21:46,2015-01-16 02:21:46,Follow
medicine,2015-01-16 02:21:46,2015-01-16 02:21:46,Follow
healthcarereform,2015-01-16 02:21:46,2015-01-16 02:21:46,Follow
management,2015-01-16 02:21:38,2015-01-16 02:21:38,Follow
humanresources,2015-01-16 02:21:38,2015-01-16 02:21:38,Follow
entrepreneurship,2015-01-16 02:21:35,2015-01-16 02:21:35,Follow
leanstartups,2015-01-16 02:21:35,2015-01-16 02:21:35,Follow
venturecapital,2015-01-16 02:21:35,2015-01-16 02:21:35,Follow
startups,2015-01-16 02:21:35,2015-01-16 02:21:35,Follow
