Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4586280,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4586280,Course,2024-09-18 17:51 UTC,N/A,false,N/A,
Prompting ChatGPT with Multimodal Techniques,"With OpenAI’s announcements of GPT-4 Turbo being added to the ChatGPT tool, there’s a whole new way of prompting using ChatGPT. 

In this course, you’ll learn to use all of the capabilities added during the recent DevDays announcements. We’ll start by learning to brainstorm audio inputs with the mobile version of ChatGPT, then you'll discover how to analyze and generate images, use Python to load data that your prompts can use to query the AI.

ChatGPT with data analysis can help you create programs without needing Python knowledge. You'll see how the AI can turn your conversations into visualizations, presentations, PDFs, Word documents, and more.

By the end, you'll be using ChatGPT above and  beyond traditional text prompting  with innovative and powerful new techniques.",Course,2025-09-19 14:10 UTC,N/A,false,N/A,
Power BI: Dashboards for Beginners (2022),"Get a short and simple beginner's guide to Power BI. In this quick course, Joshua Rischin demystifies the process of building dashboards in Power BI, the powerful business analytics and data visualization tool from Microsoft. Joshua begins with a quick primer on how Power BI dashboards work, including the building blocks of a dashboard. Next, he shows how to select the right data and connect it to your dashboard. You can then learn how to prepare and adjust the dashboard’s layout, select and configure a chart type, apply dashboard filters, and enhance the dashboard with finishing touches to wow your stakeholders when you share your review. These lessons make it easy even for novice users to turn raw data into a powerful story that can help drive better business decisions.",Course,2023-05-26 01:37 UTC,N/A,false,N/A,
OpenAI API: Multimodal Development with GPT-4o,"In this hands-on course you’ll use the OpenAI API to leverage the multimodal capabilities of GPT-4o and function calling to extract text from images, conform the data to JSON, and call functions to save the extracted data to a spreadsheet.",Course,2024-07-18 12:31 UTC,N/A,false,N/A,
Solution Sales,"The modern buyer is more knowledgeable and savvy than ever before. By taking a collaborative approach with the buyer and developing solutions, instead of relying on outdated sales tactics, professional sellers can create real value for clients and subsequently close more deals. Learn the <i>solution selling</i> method, and find out how to shift the emphasis from product features to customer value.<br><br>

Leadership and revenue growth expert Scott Edinger explains what selling a solution really means and why it is vital when selling large deals or sophisticated products and services. He shows how to develop the solution-selling mindset, cultivate peer-level relationships with customers, identify real objectives, and create value. By understanding how to implement the solution-selling methodology, you can create natural and pressure-less sales interactions that accelerate revenue growth and improve customer loyalty.",Course,2018-08-13 13:20 UTC,N/A,false,N/A,
"From iPod to iPhone and Beyond: Tony Fadell on ""Design Better""","For many people, being the cocreator of two of the most transformative products of the early 21st century—the iPod and iPhone—would be enough for one career. But Tony Fadell was just getting started. After his time at Apple, Tony went on to start Nest Labs, known for its smart home products like thermostats and fire alarms, which sold to Google for over three billion dollars. Tony has authored more than 300 patents, and with his newest venture, the Build Collective, he’s investing time and money to help engineers and scientists build a greener world. He has also written a book about what he’s learned over the years called <i>Build</i>. In this course adapted from the <a href=""https://designbetterpodcast.com/"">Design Better</a> podcast, learn about what some of Tony’s early failures taught him, why the best teams are multigenerational, and how to deal with the different types of challenging people you might encounter in your career.",Course,2024-11-07 14:54 UTC,N/A,false,N/A,
Ryan Holmes on Social Leadership,"Social media has redefined the customer journey. As a result, it's crucial that business leaders understand how to establish and maintain an engaging, confident social media presence. In this course, join LinkedIn Influencer and thought leader Ryan Holmes—the CEO and founder of Hootsuite—as he shares his insights about what it means to be an effective social leader. Ryan advises leaders about the benefits of leading via social media, breaking down what that means into six actionable components.",Course,2018-08-15 03:03 UTC,N/A,false,N/A,
Create LinkedIn Posts That Get You Noticed with LinkedIn Senior Community Manager Iris Mansour,"<p>Want to create LinkedIn content that gets you noticed and opens doors? Wondering what makes the perfect post?</p>
<p>
Whether you're looking to build your personal brand, grow your network or land your next big opportunity, join Iris Mansour, a senior community manager helping tech executives and LinkedIn Top Voices elevate their presence, for an actionable workshop. Get answers to common questions and learn how to create content that not only engages an audience but also advances your career.
</p>
Visit <a href=""http://linkedin.com/events"" target=""_blank""><b>linkedin.com/events</b></a> for more can’t-miss conversations featuring prominent leaders!",Course,2026-01-22 01:52 UTC,N/A,false,N/A,
Creel Price on Social Entrepreneurship,"Discover how to select and bring forward smart business ideas that aim to make the world a better place. In this course, join LinkedIn Influencer Creel Price—the founder and director of Investible—as he shares practical tips and key factors that can help founders successfully launch a social enterprise. Creel explains what social entrepreneurship is and why it's unique. He also shares how to make your idea investible, fund your social enterprise, avoid common pitfalls, and much more.",Course,2018-10-04 23:02 UTC,N/A,false,N/A,
Building Resilience as a Leader (2019),"Research tells us that resilience is one of the key attributes of successful leaders. Resilience can help you face challenges, navigate obstacles, and thrive in your role. But it can also help you lead your team and your business to bigger and better results. In this course, psychologist and executive coach Gemma Leigh Roberts helps you develop a resilient mindset, a resilient team, and a resilient organization that can weather risk and change. The tips and strategies Gemma offers are approachable and actionable—designed for busy leaders who need an extra edge to survive and thrive in challenging times.",Course,2021-05-21 17:19 UTC,N/A,false,N/A,
