Login Date,IP Address,User Agent,Login Type
Fri Mar 01 19:37:16 UTC 2024,136.226.2.254,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Login
Fri Mar 01 22:04:58 UTC 2024,64.98.91.144,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Login
Mon Jun 03 20:22:46 UTC 2024,136.226.3.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
Thu Oct 17 18:34:05 UTC 2024,136.226.3.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Login
Mon Dec 16 21:41:55 UTC 2024,136.226.3.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Login
Thu Jan 30 17:14:58 UTC 2025,136.226.3.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",Login
Wed Feb 19 16:59:11 UTC 2025,136.226.3.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Login
Thu Mar 06 18:16:28 UTC 2025,136.226.3.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Login
Wed Apr 09 18:15:59 UTC 2025,104.129.206.103,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",Login
Wed Apr 30 20:17:18 UTC 2025,104.129.206.103,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",Login
Mon May 05 17:26:26 UTC 2025,2606:8e80:180c:2500:540b:15fe:3e52:d2c7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",Login
Thu Jun 26 19:22:25 UTC 2025,97.129.13.133,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",Login
Tue Jul 22 14:11:53 UTC 2025,64.98.91.144,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
Thu Jul 24 19:17:52 UTC 2025,170.85.56.252,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
Tue Aug 12 19:25:18 UTC 2025,64.98.91.144,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Login
Thu Oct 09 14:14:39 UTC 2025,64.98.91.144,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",Login
Wed Oct 15 19:31:36 UTC 2025,2606:8e80:180c:2500:ecc7:dcbd:5d72:df74,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",Login
Tue Nov 04 16:31:13 UTC 2025,104.129.207.36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Login
Thu Dec 04 18:42:24 UTC 2025,108.169.149.166,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Login
Thu Dec 04 18:42:56 UTC 2025,108.169.149.166,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Login
Tue Jan 20 15:46:33 UTC 2026,2606:8e80:180c:2500:e901:1a32:fa32:b9e5,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.7644.2 iPhone:18.6.2,Login
Tue Jan 27 19:41:41 UTC 2026,64.98.91.144,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",Login
Mon Feb 09 16:11:52 UTC 2026,64.98.91.144,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",Login
Mon Feb 09 16:13:04 UTC 2026,2606:8e80:180c:2500:bcc9:f1d1:f7a5:f441,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",Login
Fri Feb 13 14:16:39 UTC 2026,2606:8e80:180c:2500:58:f0cd:ba2e:3741,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",Login
