Date,Type,Link
2026-02-13 16:48:43,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7425661151427956736
2026-02-11 20:49:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7427407025778778112
2026-02-11 20:49:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7427335445790822400
2026-02-10 19:57:13,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7427024721185193984
2026-02-06 22:28:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7425602605650714624
2026-01-27 18:55:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7421979382908637184
2026-01-27 15:37:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7421931510360014848
2026-01-26 15:15:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7421551199658651648
2026-01-22 23:51:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7420148512660582403
2026-01-22 01:14:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7419760374972874752
2026-01-20 21:56:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7419483877104259072
2026-01-13 18:30:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7416893065443041281
2026-01-13 18:30:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7416894701338959872
2025-12-23 20:59:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7407491469717995520?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7407491469717995520%2C7409333374177153025%29
2025-12-23 20:59:27,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7407491469717995520
2025-12-19 20:08:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7407749516218761216
2025-12-15 20:49:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7406425649869074432
2025-12-12 19:03:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7405293953870368768
2025-12-10 20:23:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7404590337135898624
2025-12-10 19:59:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7404544483813650433
2025-12-03 22:25:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7402106554616860674
2025-12-03 15:57:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7401985849866797056
2025-12-01 20:16:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7401316420162269184
2025-12-01 14:04:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7400973796431802368
2025-11-25 19:54:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7399133506301485056
2025-11-24 17:40:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7398752141370359808
2025-11-24 13:51:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7388604518390820864
2025-11-20 16:24:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7397306635783880704
2025-11-20 13:32:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7397262717603962880
