Challenge Date,IP Address,User Agent,Country,Challenge Type
Tue Apr 22 13:21:15 UTC 2025,2606:8e80:180c:2500:d86d:5dd0:9ee3:1bb4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",United States,SSP_BLOCKING_CHALLENGE
Tue Apr 22 13:26:49 UTC 2025,2606:8e80:180c:2500:d86d:5dd0:9ee3:1bb4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.9729.4",United States,SSP_BLOCKING_CHALLENGE
Tue Apr 22 13:26:51 UTC 2025,2606:8e80:180c:2500:d86d:5dd0:9ee3:1bb4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.9729.4",United States,LINKEDIN_APP_CHALLENGE
Mon May 05 17:26:10 UTC 2025,2606:8e80:180c:2500:540b:15fe:3e52:d2c7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Mon May 05 17:26:22 UTC 2025,2606:8e80:180c:2500:7806:f3bb:12bb:a5c6,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.31.802",United States,SSP_BLOCKING_CHALLENGE
Mon May 05 17:26:25 UTC 2025,2606:8e80:180c:2500:7806:f3bb:12bb:a5c6,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.31.802",United States,LINKEDIN_APP_CHALLENGE
Mon May 05 17:26:26 UTC 2025,2606:8e80:180c:2500:540b:15fe:3e52:d2c7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Tue Jan 20 15:44:57 UTC 2026,64.98.91.144,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Tue Jan 20 15:44:57 UTC 2026,64.98.91.144,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Tue Jan 20 15:45:24 UTC 2026,64.98.91.144,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Fri Feb 13 19:42:05 UTC 2026,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Feb 13 19:42:06 UTC 2026,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Feb 13 19:42:22 UTC 2026,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Feb 13 19:42:28 UTC 2026,2606:8e80:180c:2500:5006:6258:c1dd:327,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
Fri Feb 13 19:42:52 UTC 2026,2606:8e80:180c:2500:5006:6258:c1dd:327,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION_AUTHENTICATOR_APP
