Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2025-12-04 18:44:12,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7402417459795763200,"First Advantage made its TV debut on Inside the Blueprint - watch the full segment now! 🎊""
""""
""Hear from Scott Staples, Joelle Smith, Rolf Bezemer, Aaron Cook, and Joy Henry about how the team at First Advantage is helping global organizations hire smarter and onboard faster. ""
""""
""Interested in learning more? Contact our team: https://bit.ly/4oAO1ar""
""""
""#BackgroundScreening #DigitalIdentity","","",MEMBER_NETWORK
2025-10-15 19:31:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7384310035717390336,"First Advantage has been named to Newsweek 's World's Most Trustworthy Companies 2025 list! ""
"" ""
""Read the press release and comments from CEO Scott Staples: https://bit.ly/3WFeKqJ""
""","","",MEMBER_NETWORK
2016-05-11 14:28:37,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A8527673-6136169824407085058,"Comment on my post and / or get something posted on your page.  Time to work the letters!! ""
""""
""","","",MEMBER_NETWORK
2016-05-10 14:35:41,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6135809327484723200,"So proud to have EARNED a Master of Business Administration from Baldwin Wallace University with a group of wonderful friends/colleagues and from very capable and thoughtful professors.  What an experience!  Thank you to my family and friends for the support over the years!  ""
""Whew - we did it!","","",MEMBER_NETWORK
2016-03-07 22:51:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6112741349486845956,Looking forward to this - Philly here we come!,http://www.populationhealthcolloquium.com,"",MEMBER_NETWORK
2015-11-02 20:51:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6067050313691521024,It's official!!,"","",MEMBER_NETWORK
2015-08-28 16:08:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6043061500485079040,https://lnkd.in/dzw5--R,"","",MEMBER_NETWORK
2015-05-18 14:54:53,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6006079302297276416,We are hiring!  We are looking for an Administrative and Marketing Assistant for Akron General Health & Wellness Innovations.  Our team is growing to keep up with the demand for our health system based wellness model that has earned national attention over the last 19+ years.  We are looking for a dynamic person that can help us lead the way!  Please email me with any questions or referrals.,"","",MEMBER_NETWORK
2015-02-11 14:58:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A5971291016211292160,"""The 'sick care' model is broken""",http://www.hhnmag.com/display/HHN-news-article.dhtml?dcrPath=%2Ftemplatedata%2FHF_Common%2FNewsArticle%2Fdata%2FHHN%2FMagazine%2F2015%2FFeb%2Ffea-medical-fitness-centers#.VNttYVVAOR5.linkedin,"",MEMBER_NETWORK
2015-02-07 04:37:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A5969685040622301184,"Thank you to Scott Crabiel for passing this along. Something to think about:""
"" ""
""“Man surprised me most about humanity. Because he sacrifices his health in order to make money.""
""Then he sacrifices money to recuperate his health. And then he is so anxious about the future that he does not enjoy the present; the result being that he does not live in the present or the future; he lives as if he is never going to die, and then dies having never really lived.” - Dalai Lama","","",MEMBER_NETWORK
2015-01-17 15:47:03,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A5962243501168087040,"Always good to remember ""the WHY""  Worth the 15 minutes.",http://www.youtube.com/attribution_link?a=7giyrKgUHbA&u=%2Fwatch%3Fv%3DsioZd3AxmnE%26feature%3Dshare,"",MEMBER_NETWORK
